Nitrogen (mg),Phosphorus (mg),Potassium (mg),Temperature (C),Humidity (%),PH (3-11),label,Rainfall (mm)
18,5,11,20.87947369,90.93756231,6.251586885,orange,102.4550786
31,5,14,17.66545409,91.69865887,6.583411671,orange,110.6857506
39,5,31,27.10134661,93.69979946,5.551963184,coconut,150.9502632
40,5,29,28.48444906,97.76865458,5.820978791,coconut,160.389421
40,5,32,26.07010807,96.7036223,5.981169595,coconut,143.533473
37,5,34,25.79490531,93.84150618,5.779032666,coconut,152.4238712
30,5,41,23.65364884,95.90741597,6.972951334,pomegranate,106.8704803
23,5,42,26.6242158,93.8667053,7.299556118,pomegranate,107.1951707
17,5,42,20.33931617,93.27956556,7.104289531,pomegranate,108.6793978
88,5,54,27.73472336,87.64562694,7.129503325,watermelon,42.10681516
83,5,56,26.63134261,90.16412037,6.293447017,watermelon,51.70699144
113,5,54,28.34757902,93.02100242,6.502918389,watermelon,46.06382209
101,5,46,27.95470138,90.8783336,6.181004886,watermelon,40.71210074
115,5,53,29.70659441,94.87346024,6.943213155,muskmelon,25.21609113
102,5,54,31.08615399,98.61828726,6.289086912,muskmelon,23.66620626
89,5,46,31.91520452,95.32957702,6.592795212,muskmelon,22.84203589
101,5,47,30.61778396,98.93365687,6.588269968,muskmelon,28.98574189
39,5,14,27.85314125,96.08360271,7.73710772,orange,101.2847738
6,5,8,24.62085303,95.67352458,6.910156355,orange,112.6738296
14,5,9,33.00773483,97.51112359,6.580275652,orange,107.4142681
36,5,28,27.65657139,95.47302936,6.036562695,coconut,147.8888994
33,5,27,31.16759268,95.87471075,5.913608396,coconut,157.2388553
36,5,31,28.97862296,101.8516327,6.126792848,coconut,171.7575545
26,5,33,30.08113999,94.51821252,6.578679589,coconut,172.4813641
13,5,26,30.70006335,101.4851111,6.264015094,coconut,178.9635457
18,5,30,31.33735791,96.55395664,6.044333634,coconut,132.1491176
10,5,34,30.25750588,98.32999329,6.278118843,coconut,171.9457959
25,5,34,31.22294841,97.36693283,6.206563282,coconut,204.9603677
3,5,36,28.91428048,100.5053221,6.41861265,coconut,147.1682459
40,5,26,27.33810702,101.7742612,6.340946877,coconut,191.2996157
28,6,40,22.10621387,91.34039616,6.769855664,pomegranate,106.8704803
21,6,41,24.88244467,89.39686219,7.086947687,pomegranate,107.1951707
15,6,41,19.0087067,88.83768149,6.897368477,pomegranate,108.6793978
86,6,53,25.92030221,83.47202566,6.921847888,watermelon,42.10681516
81,6,55,24.88910524,85.87059083,6.110142735,watermelon,51.70699144
111,6,53,26.4930645,88.59143088,6.313512999,watermelon,46.06382209
99,6,45,26.12588914,86.5507939,6.000975617,watermelon,40.71210074
113,6,52,27.76317235,90.35567642,6.740983646,muskmelon,25.21609113
100,6,53,29.05248036,93.92217834,6.105909623,muskmelon,23.66620626
87,6,45,29.82729394,90.79007335,6.40077205,muskmelon,22.84203589
99,6,46,28.61475136,94.22253035,6.39637861,muskmelon,28.98574189
37,6,13,26.03097313,91.50819306,7.511755068,orange,101.2847738
4,6,7,23.01014302,91.11764246,6.708889665,orange,112.6738296
12,6,8,30.84835031,92.86773675,6.388617138,orange,107.4142681
34,6,27,25.84726298,90.92669463,5.860740481,coconut,147.8888994
31,6,26,29.12859129,91.30924833,5.741367375,coconut,157.2388553
34,6,30,27.0828252,97.00155491,5.948342571,coconut,171.7575545
24,6,32,28.11321494,90.01734526,6.387067562,coconut,172.4813641
11,6,25,28.69164799,96.65248672,6.081568052,coconut,178.9635457
16,6,29,29.28725038,91.95614918,5.868285082,coconut,132.1491176
8,6,33,28.27804288,93.64761266,6.095261013,coconut,171.9457959
23,6,33,29.18032562,92.73041222,6.025789594,coconut,204.9603677
1,6,35,27.02269204,95.71935435,6.231662767,coconut,147.1682459
38,6,25,25.54963273,96.92786777,6.156259104,coconut,191.2996157
38,6,38,21.25781669,90.67369716,5.955908634,pomegranate,108.3168858
15,6,44,19.47646548,95.6789627,7.22388596,pomegranate,109.6623974
22,6,46,20.22933781,93.70333148,6.260222592,pomegranate,112.4750941
121,6,56,27.86138459,88.86972969,6.212367216,watermelon,44.3993381
93,6,54,26.89697399,93.74686352,6.650933031,watermelon,43.52897517
86,6,52,28.69237588,92.03979185,6.591659115,watermelon,55.74073582
93,6,53,26.83349929,87.63541984,6.59720587,watermelon,56.39962921
122,6,48,25.94517246,87.18872297,6.853483636,watermelon,54.7657624
94,6,46,28.57550302,85.1985698,7.152979429,watermelon,51.51033554
94,6,49,28.11447075,90.96412033,7.165204091,watermelon,54.38748495
112,6,46,28.5030729,88.93024218,6.374890345,watermelon,48.32428609
85,6,46,31.12007182,95.27586481,6.905227251,muskmelon,25.33014238
100,6,46,29.73703135,97.13607693,6.34245656,muskmelon,26.85422624
97,6,46,29.21109199,95.34016073,6.212615809,muskmelon,25.09484511
22,6,10,31.54083588,96.15693061,7.343011049,orange,111.1727497
21,6,11,15.81463244,95.78165222,6.301983208,orange,100.1961762
10,6,11,30.24039222,96.58233223,7.137092494,orange,105.2132259
32,6,16,35.56095032,95.6135662,8.060297873,orange,115.7659902
18,6,9,24.38740524,95.1394699,6.61307103,orange,116.5084074
21,6,10,29.16331545,96.29937856,7.178979987,orange,101.139435
30,6,10,37.01320952,96.73891275,6.932680264,orange,115.5650287
8,6,8,29.6193903,99.19682723,7.41507939,orange,113.9995146
27,6,36,30.37199154,104.1478587,5.724443061,coconut,189.6711349
41,6,30,29.47072336,99.32040427,6.553420434,coconut,150.2012138
25,6,35,27.93289763,96.10042275,6.027599348,coconut,134.1279669
36,7,37,19.8671184,86.35590206,5.782435567,pomegranate,108.3168858
13,7,43,18.20230419,91.12282162,7.013481515,pomegranate,109.6623974
20,7,45,18.90592319,89.24126808,6.077886012,pomegranate,112.4750941
119,7,55,26.03867719,84.6378378,6.031424482,watermelon,44.3993381
91,7,53,25.13735887,89.28272716,6.457216535,watermelon,43.52897517
84,7,51,26.81530456,87.65694462,6.399669044,watermelon,55.74073582
91,7,52,25.07803672,83.46230461,6.405054243,watermelon,56.39962921
120,7,47,24.24782473,83.03687902,6.653867608,watermelon,54.7657624
92,7,45,26.70607759,81.14149505,6.944640222,watermelon,51.51033554
92,7,48,26.27520631,86.63249555,6.956508826,watermelon,54.38748495
110,7,45,26.63838589,84.69546874,6.189213927,watermelon,48.32428609
83,7,45,29.08417927,90.73891887,6.704104127,muskmelon,25.33014238
98,7,45,27.79161808,92.51054946,6.157724816,muskmelon,26.85422624
95,7,45,27.30008597,90.80015308,6.031665834,muskmelon,25.09484511
20,7,9,29.47741671,91.57802915,7.129136941,orange,111.1727497
19,7,10,14.78003032,91.22062116,6.118430299,orange,100.1961762
8,7,10,28.2620488,91.98317355,6.929216014,orange,105.2132259
30,7,15,33.23453301,91.06053924,7.825531916,orange,115.7659902
16,7,8,22.79196751,90.60901895,6.420457311,orange,116.5084074
19,7,9,27.255435,91.71369387,6.969883483,orange,101.139435
28,7,9,34.5917846,92.13229786,6.730757538,orange,115.5650287
6,7,7,27.68167318,94.47316879,7.199106204,orange,113.9995146
25,7,35,28.38503882,99.18843684,5.55771171,coconut,189.6711349
39,7,29,27.54273211,94.59086121,6.362544111,coconut,150.2012138
23,7,34,26.1055118,91.52421214,5.852038202,coconut,134.1279669
11,7,41,24.06130554,94.41861272,6.750114963,pomegranate,111.6631582
16,7,44,23.45989921,99.18809578,7.263204572,pomegranate,111.7162016
116,7,51,26.47855458,92.72409635,6.77903557,watermelon,57.95826144
99,7,53,26.65404518,91.32049548,6.424997588,watermelon,49.48575692
100,7,52,28.01190065,90.84870983,6.447116029,watermelon,49.43050977
122,7,47,31.6255355,95.24484125,6.934819364,muskmelon,28.36535596
116,7,53,31.39466786,99.2789216,6.611655585,muskmelon,28.22908103
33,7,8,36.93067699,98.32003318,7.378143361,orange,103.5684926
18,7,10,26.32518366,95.84829086,7.829225538,orange,111.2948115
11,7,16,15.34722922,99.07521437,8.234299332,orange,110.2223123
8,7,12,26.06082221,97.01634246,6.798977252,orange,119.6946577
7,7,6,11.80603693,96.83842145,6.759472821,orange,112.7715925
22,7,13,27.06997622,99.71240844,7.478228897,orange,117.9733424
14,7,11,17.27857705,96.01704284,8.235724446,orange,107.4287664
15,7,13,26.92437396,97.17472834,7.319081963,orange,114.3117197
29,7,33,28.89693827,101.2847738,5.796696365,coconut,144.3331315
3,7,27,29.43958453,98.89903607,5.72979927,coconut,156.6732553
31,7,29,28.75130218,96.3117357,6.283442382,coconut,214.4128874
29,7,31,28.29722067,103.2143467,6.188637871,coconut,221.2258168
24,7,34,30.42622963,100.6782427,5.835758758,coconut,203.9283708
9,8,40,22.48720144,89.9224883,6.553509673,pomegranate,111.6631582
14,8,43,21.92513945,94.46485312,7.051654924,pomegranate,111.7162016
114,8,50,24.74631269,88.30866319,6.581587932,watermelon,57.95826144
97,8,52,24.9103226,86.97190046,6.237861736,watermelon,49.48575692
98,8,51,26.1793464,86.52258079,6.25933595,watermelon,49.43050977
120,8,46,29.55657523,90.70937262,6.732834334,muskmelon,28.36535596
114,8,52,29.34081108,94.5513539,6.419083092,muskmelon,28.22908103
31,8,7,34.51465139,93.63812684,7.163245982,orange,103.5684926
16,8,9,24.60297538,91.28408653,7.601189843,orange,111.2948115
9,8,15,14.34320488,94.35734702,7.994465371,orange,110.2223123
6,8,11,24.35590861,92.39651663,6.600948788,orange,119.6946577
5,8,5,11.03367937,92.22706805,6.562594972,orange,112.7715925
20,8,12,25.2990432,94.96419851,7.260416405,orange,117.9733424
12,8,10,16.14820285,91.4448027,7.995848977,orange,107.4287664
13,8,12,25.16296632,92.54736032,7.105904818,orange,114.3117197
27,8,32,27.00648436,96.46168931,5.627860549,coconut,144.3331315
1,8,26,27.5136304,94.18955816,5.562911913,coconut,156.6732553
29,8,28,26.87037587,91.72546257,6.100429497,coconut,214.4128874
27,8,30,26.44600063,98.29937782,6.008386283,coconut,221.2258168
22,8,33,28.43572863,95.8840407,5.665785202,coconut,203.9283708
5,8,46,25.5640394,94.09942713,6.731301579,pomegranate,104.617522
23,8,41,26.22728036,95.17723651,6.135093883,pomegranate,105.6209954
36,8,37,24.40912302,90.65945455,6.46432013,pomegranate,110.4432293
24,8,45,26.45292027,93.3203386,5.91669245,pomegranate,112.1926517
20,8,41,20.80746701,93.47233397,5.796001845,pomegranate,106.1606833
42,8,42,26.08410457,89.67179739,5.956188159,pomegranate,106.128338
121,8,51,28.61769225,88.11556971,6.438825261,watermelon,40.794305
85,8,46,27.66467448,93.58822163,6.231098189,watermelon,46.85176955
117,8,53,31.1026002,95.52569816,6.199953633,muskmelon,29.1194739
87,8,54,30.18062771,97.51138633,6.641092833,muskmelon,28.78654515
91,8,48,31.53457197,95.30923099,6.868434249,muskmelon,28.75226067
8,8,13,33.25954754,94.65080774,7.239608798,orange,109.6894658
17,8,12,12.35620706,98.85604051,8.145194939,orange,108.8289171
41,8,16,27.12950381,96.40242379,8.231803244,orange,116.7555937
12,8,29,31.04344882,98.71065107,6.471443725,coconut,150.0500312
28,8,33,27.76546895,99.4755354,6.664579582,coconut,144.1571109
5,8,36,28.80056869,104.8390522,6.508109562,coconut,225.6323656
3,9,45,23.89162561,89.61850203,6.535244251,pomegranate,104.617522
21,9,40,24.51147697,90.64498715,5.956401828,pomegranate,105.6209954
34,9,36,22.8122645,86.34233767,6.276038961,pomegranate,110.4432293
22,9,44,24.72235539,88.87651295,5.744361602,pomegranate,112.1926517
18,9,40,19.44623085,89.02127045,5.627186257,pomegranate,106.1606833
40,9,41,24.37766782,85.4017118,5.78270695,pomegranate,106.128338
119,9,50,26.74550678,83.9195902,6.251286661,watermelon,40.794305
83,9,45,25.85483596,89.13163965,6.049609892,watermelon,46.85176955
115,9,52,29.06785065,90.97685539,6.019372459,muskmelon,29.1194739
85,9,53,28.20619412,92.86798698,6.447662945,muskmelon,28.78654515
89,9,47,29.47156259,90.77069618,6.668382766,muskmelon,28.75226067
6,9,12,31.08368929,90.14362642,7.028746406,orange,109.6894658
15,9,11,11.54785707,94.14861001,7.907956251,orange,108.8289171
39,9,15,25.35467646,91.81183218,7.992041984,orange,116.7555937
10,9,28,29.01256899,94.01014388,6.282955073,coconut,150.0500312
26,9,32,25.9490364,94.73860514,6.470465614,coconut,144.1571109
3,9,35,26.91641934,99.84671638,6.318552973,coconut,225.6323656
18,9,42,26.5088697,89.91789122,6.941163773,pomegranate,105.7595811
13,9,46,24.2145833,92.87856016,6.589935477,pomegranate,109.0357597
103,9,48,27.33012137,87.48477545,7.145107611,watermelon,57.57343233
111,9,54,28.69674395,92.21883342,6.748302815,watermelon,46.06193778
109,9,50,27.64027116,93.45505811,6.957847786,watermelon,45.24690619
85,9,54,26.67504392,89.25842476,6.380996547,watermelon,48.75859458
102,9,54,26.26161956,88.83848691,6.398101426,watermelon,42.00660251
108,9,50,29.66738862,96.60721908,6.541142451,muskmelon,20.21126747
11,9,11,23.91996224,98.19822487,6.19070362,orange,101.5164589
36,9,15,36.43667698,96.66102307,6.927368881,orange,116.8020848
28,9,34,30.25209003,101.7833195,6.252839396,coconut,198.8234862
30,9,31,31.95991924,95.70459593,6.494912738,coconut,192.7678575
39,9,33,30.99060536,99.92150357,6.350037401,coconut,222.803013
29,9,34,29.7581212,102.3583108,6.659883523,coconut,154.0621221
23,9,37,26.671238,89.45052983,6.007501629,pomegranate,104.7693804
32,9,45,22.69176151,98.97619953,7.37789481,pomegranate,107.5660804
9,9,37,26.05657379,95.43043007,6.337493697,pomegranate,105.529185
19,9,43,21.65792247,95.64142163,7.093616177,pomegranate,109.2537734
125,9,55,27.15233373,85.04279183,6.853606868,watermelon,57.23028471
108,9,48,25.81994333,89.08719304,6.848559581,watermelon,51.19470197
116,9,53,28.52990316,94.48325495,7.087868518,watermelon,57.40847165
97,9,48,27.67528781,91.00841443,6.862111985,watermelon,41.16554802
120,9,56,28.12328401,88.64602863,6.716283325,watermelon,50.78669728
128,9,56,31.76665986,99.01617181,6.353820724,muskmelon,26.83924845
120,9,48,29.99537913,96.04723567,6.462686395,muskmelon,21.17924769
120,9,53,31.97620689,98.73897044,6.320076263,muskmelon,21.0000988
103,9,56,30.58644744,96.48677691,6.268252814,muskmelon,26.88372572
120,9,51,29.5250458,96.38730101,6.591888201,muskmelon,24.84266123
22,9,9,25.52314206,94.61048676,7.698951818,orange,103.923226
19,9,6,22.69798461,95.92116677,8.052381891,orange,112.9834361
27,9,12,22.34103685,95.48444043,6.439134492,orange,102.4550786
40,9,15,18.90203588,96.28359181,6.780914021,orange,110.6857506
48,9,32,28.99844087,98.38478943,5.71852208,coconut,150.9502632
49,9,30,30.47836049,102.6570873,5.995608155,coconut,160.389421
49,9,33,27.89501563,101.5388034,6.160604683,coconut,143.533473
46,9,35,27.60054868,98.53358149,5.952403646,coconut,152.4238712
16,10,41,24.77464458,85.63608688,6.738993954,pomegranate,105.7595811
11,10,45,22.63045168,88.45577158,6.397995609,pomegranate,109.0357597
101,10,47,25.5421695,83.31883376,6.936997681,watermelon,57.57343233
109,10,53,26.81938687,87.8274604,6.551750306,watermelon,46.06193778
107,10,49,25.83202912,89.00481725,6.755192025,watermelon,45.24690619
83,10,53,24.92994759,85.00802358,6.195142279,watermelon,48.75859458
100,10,53,24.54356968,84.60808277,6.211748957,watermelon,42.00660251
106,10,49,27.72653142,92.00687531,6.350623739,muskmelon,20.21126747
9,10,10,22.3551049,93.52211892,6.010391864,orange,101.5164589
34,10,14,34.05296914,92.05811721,6.725600855,orange,116.8020848
26,10,33,28.27298134,96.93649473,6.07071786,coconut,198.8234862
28,10,30,29.8690834,91.14723422,6.305740522,coconut,192.7678575
37,10,32,28.96318258,95.16333673,6.165084855,coconut,222.803013
27,10,33,27.81132822,97.48410555,6.465906333,coconut,154.0621221
17,10,39,24.74704802,97.31744776,6.829565465,pomegranate,109.3930157
39,10,37,25.94514188,89.83834978,6.911447564,pomegranate,106.9216033
42,10,45,26.17048839,90.41418345,6.512067908,pomegranate,111.3779693
33,10,46,26.57831223,91.2317498,6.215651316,pomegranate,107.6435771
117,10,47,26.12504147,93.86638295,6.821862192,watermelon,40.32161859
103,10,52,27.29288549,88.45557253,6.995796642,watermelon,44.2068997
109,10,55,30.59186035,95.90298098,6.276836828,muskmelon,29.44008034
85,10,54,31.60883973,97.56367222,6.348838885,muskmelon,21.9653077
91,10,48,31.87223985,99.38610711,6.517657651,muskmelon,27.8659442
104,10,46,31.06389055,97.78233397,6.546105909,muskmelon,24.15591199
104,10,48,29.94695653,97.42137506,6.700054188,muskmelon,27.14509034
11,10,9,26.59916643,99.10950497,6.756013846,orange,111.7803734
38,10,14,18.55469603,97.70142051,7.407479222,orange,112.7194284
31,10,6,24.75272528,96.54403852,7.868982113,orange,104.4224145
28,10,12,14.66241508,95.50368855,7.837628703,orange,106.2944879
36,10,11,33.97302322,99.32528787,7.583074601,orange,115.1989301
9,10,33,31.30716109,99.86859432,5.708434213,coconut,184.7624496
24,10,30,29.9961724,99.76712123,6.13441526,coconut,218.0055713
34,10,32,26.82353005,97.97980969,6.392109587,coconut,134.8419069
19,10,33,30.75194268,98.06660324,5.789355808,coconut,156.7650823
34,10,32,31.58224367,97.19317507,6.655062602,coconut,131.2116167
21,10,36,24.92639065,85.19098079,5.832525853,pomegranate,104.7693804
30,10,44,21.20725375,94.26304717,7.16300467,pomegranate,107.5660804
7,10,36,24.35193812,90.88612388,6.152906502,pomegranate,105.529185
17,10,42,20.24104904,91.08706822,6.887005997,pomegranate,109.2537734
123,10,54,25.37601283,80.99313508,6.65398725,watermelon,57.23028471
106,10,47,24.13078816,84.84494575,6.649086972,watermelon,51.19470197
114,10,52,26.6634609,89.98405233,6.881425746,watermelon,57.40847165
95,10,47,25.86475496,86.67468041,6.662244646,watermelon,41.16554802
118,10,55,26.283443,84.42478917,6.520663422,watermelon,50.78669728
126,10,55,29.68846716,94.30111601,6.168757984,muskmelon,26.83924845
118,10,47,28.03306461,91.47355778,6.274452811,muskmelon,21.17924769
118,10,52,29.8843055,94.0371147,6.135996372,muskmelon,21.0000988
101,10,55,28.5854649,91.89216849,6.085682344,muskmelon,26.88372572
118,10,50,27.59350075,91.79742953,6.399891457,muskmelon,24.84266123
20,10,8,23.85340379,90.10522549,7.474710503,orange,103.923226
17,10,5,21.21306973,91.35349216,7.817846496,orange,112.9834361
25,10,11,20.87947369,90.93756231,6.251586885,orange,102.4550786
38,10,14,17.66545409,91.69865887,6.583411671,orange,110.6857506
46,10,31,27.10134661,93.69979946,5.551963184,coconut,150.9502632
47,10,29,28.48444906,97.76865458,5.820978791,coconut,160.389421
47,10,32,26.07010807,96.7036223,5.981169595,coconut,143.533473
44,10,34,25.79490531,93.84150618,5.779032666,coconut,152.4238712
37,10,41,23.65364884,95.90741597,6.972951334,pomegranate,106.8704803
30,10,42,26.6242158,93.8667053,7.299556118,pomegranate,107.1951707
24,10,42,20.33931617,93.27956556,7.104289531,pomegranate,108.6793978
95,10,54,27.73472336,87.64562694,7.129503325,watermelon,42.10681516
90,10,56,26.63134261,90.16412037,6.293447017,watermelon,51.70699144
120,10,54,28.34757902,93.02100242,6.502918389,watermelon,46.06382209
108,10,46,27.95470138,90.8783336,6.181004886,watermelon,40.71210074
122,10,53,29.70659441,94.87346024,6.943213155,muskmelon,25.21609113
109,10,54,31.08615399,98.61828726,6.289086912,muskmelon,23.66620626
96,10,46,31.91520452,95.32957702,6.592795212,muskmelon,22.84203589
108,10,47,30.61778396,98.93365687,6.588269968,muskmelon,28.98574189
46,10,14,27.85314125,96.08360271,7.73710772,orange,101.2847738
13,10,8,24.62085303,95.67352458,6.910156355,orange,112.6738296
21,10,9,33.00773483,97.51112359,6.580275652,orange,107.4142681
43,10,28,27.65657139,95.47302936,6.036562695,coconut,147.8888994
40,10,27,31.16759268,95.87471075,5.913608396,coconut,157.2388553
43,10,31,28.97862296,101.8516327,6.126792848,coconut,171.7575545
33,10,33,30.08113999,94.51821252,6.578679589,coconut,172.4813641
20,10,26,30.70006335,101.4851111,6.264015094,coconut,178.9635457
25,10,30,31.33735791,96.55395664,6.044333634,coconut,132.1491176
17,10,34,30.25750588,98.32999329,6.278118843,coconut,171.9457959
32,10,34,31.22294841,97.36693283,6.206563282,coconut,204.9603677
10,10,36,28.91428048,100.5053221,6.41861265,coconut,147.1682459
47,10,26,27.33810702,101.7742612,6.340946877,coconut,191.2996157
15,11,38,23.12808226,92.68328358,6.630646083,pomegranate,109.3930157
37,11,36,24.24779615,85.56033312,6.710143266,pomegranate,106.9216033
40,11,44,24.45840036,86.10874614,6.322396027,pomegranate,111.3779693
31,11,45,24.83954414,86.88738076,6.034612928,pomegranate,107.6435771
115,11,46,24.41592661,89.39655519,6.623167177,watermelon,40.32161859
101,11,51,25.50736962,84.24340241,6.792035575,watermelon,44.2068997
107,11,54,28.59052369,91.33617236,6.094016338,muskmelon,29.44008034
83,11,53,29.54097171,92.91778307,6.163921248,muskmelon,21.9653077
89,11,47,29.78714005,94.65343534,6.327822962,muskmelon,27.8659442
102,11,45,29.03167341,93.12603235,6.35544263,muskmelon,24.15591199
102,11,47,27.98780984,92.78226196,6.504906979,muskmelon,27.14509034
9,11,8,24.85903405,94.39000473,6.559236744,orange,111.7803734
36,11,13,17.34083741,93.04897191,7.1917274,orange,112.7194284
29,11,5,23.13338811,91.94670335,7.639788459,orange,104.4224145
26,11,11,13.70319166,90.95589386,7.609348255,orange,106.2944879
34,11,10,31.75048899,94.59551226,7.36220835,orange,115.1989301
7,11,32,29.25902906,95.11294697,5.542169139,coconut,184.7624496
22,11,29,28.03380598,95.01630593,5.955742971,coconut,218.0055713
32,11,31,25.06871967,93.31410447,6.205931638,coconut,134.8419069
17,11,32,28.74013335,93.39676499,5.620733794,coconut,156.7650823
32,11,31,29.51611558,92.56492864,6.461225827,coconut,131.2116167
97,11,52,27.5683816,88.38133458,6.882054903,watermelon,44.22066914
97,11,47,28.05184317,85.06059822,6.512501798,watermelon,54.65423596
93,11,47,26.36970562,89.77435094,6.534260794,watermelon,48.31219031
99,11,48,27.05799547,94.1185127,6.968047813,watermelon,58.28697664
109,11,47,31.64247119,98.29963861,6.756556296,muskmelon,27.56918621
101,11,53,30.70587917,99.02297848,6.183015112,muskmelon,22.21807088
111,11,49,31.5197577,96.73161473,6.910006158,muskmelon,20.76212031
120,11,48,29.92653339,96.78317036,6.191061834,muskmelon,28.94766949
117,11,53,29.440967,99.71029607,6.886119723,muskmelon,21.01796432
35,11,9,27.02876377,94.82711422,7.026950577,orange,117.3695296
35,11,16,32.37368493,96.63436439,6.233888019,orange,116.7173125
2,11,8,21.59722521,95.18731397,7.178327166,orange,116.8130969
20,11,9,13.47230555,96.40752207,6.392234664,orange,119.3916718
34,11,31,27.16987967,102.9939876,5.747240358,coconut,218.080385
3,11,31,29.69709886,100.7437602,5.729090545,coconut,131.0900076
27,11,27,30.56961667,100.46302,6.629403838,coconut,134.8370348
20,11,36,27.96935537,101.2050981,6.528882499,coconut,131.3387935
35,11,40,22.10621387,91.34039616,6.769855664,pomegranate,106.8704803
28,11,41,24.88244467,89.39686219,7.086947687,pomegranate,107.1951707
22,11,41,19.0087067,88.83768149,6.897368477,pomegranate,108.6793978
93,11,53,25.92030221,83.47202566,6.921847888,watermelon,42.10681516
88,11,55,24.88910524,85.87059083,6.110142735,watermelon,51.70699144
118,11,53,26.4930645,88.59143088,6.313512999,watermelon,46.06382209
106,11,45,26.12588914,86.5507939,6.000975617,watermelon,40.71210074
120,11,52,27.76317235,90.35567642,6.740983646,muskmelon,25.21609113
107,11,53,29.05248036,93.92217834,6.105909623,muskmelon,23.66620626
94,11,45,29.82729394,90.79007335,6.40077205,muskmelon,22.84203589
106,11,46,28.61475136,94.22253035,6.39637861,muskmelon,28.98574189
44,11,13,26.03097313,91.50819306,7.511755068,orange,101.2847738
11,11,7,23.01014302,91.11764246,6.708889665,orange,112.6738296
19,11,8,30.84835031,92.86773675,6.388617138,orange,107.4142681
41,11,27,25.84726298,90.92669463,5.860740481,coconut,147.8888994
38,11,26,29.12859129,91.30924833,5.741367375,coconut,157.2388553
41,11,30,27.0828252,97.00155491,5.948342571,coconut,171.7575545
31,11,32,28.11321494,90.01734526,6.387067562,coconut,172.4813641
18,11,25,28.69164799,96.65248672,6.081568052,coconut,178.9635457
23,11,29,29.28725038,91.95614918,5.868285082,coconut,132.1491176
15,11,33,28.27804288,93.64761266,6.095261013,coconut,171.9457959
30,11,33,29.18032562,92.73041222,6.025789594,coconut,204.9603677
8,11,35,27.02269204,95.71935435,6.231662767,coconut,147.1682459
45,11,25,25.54963273,96.92786777,6.156259104,coconut,191.2996157
45,11,38,21.25781669,90.67369716,5.955908634,pomegranate,108.3168858
22,11,44,19.47646548,95.6789627,7.22388596,pomegranate,109.6623974
29,11,46,20.22933781,93.70333148,6.260222592,pomegranate,112.4750941
128,11,56,27.86138459,88.86972969,6.212367216,watermelon,44.3993381
100,11,54,26.89697399,93.74686352,6.650933031,watermelon,43.52897517
93,11,52,28.69237588,92.03979185,6.591659115,watermelon,55.74073582
